lessonid,type,order,question,option1,option2,option3,correctoption
11,SELECT,1,What does "नमः" (namaḥ) mean?,Hello,I bow to you,Thank you,2
11,SELECT,2,Which word means "teacher"?,गुरुः (guruḥ),विद्या (vidyā),विद्यार्थी (vidyārthī),1
11,SELECT,3,"स्वागतम्" (svāgatam) translates to?,Goodbye,Welcome,I am,2
11,ASSIST,4,the student,गुरुः (guruḥ),विद्यार्थी (vidyārthī),विद्या (vidyā),2
11,SELECT,5,What is "knowledge" in Sanskrit?,स्वागतम् (svāgatam),विद्या (vidyā),नमः (namaḥ),2
11,SELECT,6,"अहं" (ahaṃ) means?,You,I,We,2
11,SELECT,7,Which is "mother"?,पिता (pitā),माता (mātā),भ्राता (bhrātā),2
11,ASSIST,8,the teacher,विद्या (vidyā),गुरुः (guruḥ),विद्यार्थी (vidyārthī),2
11,SELECT,9,"धन्यवादः" (dhanyavādaḥ) means?,Welcome,Thank you,I bow,2
11,SELECT,10,What does "पिता" (pitā) mean?,Mother,Father,Brother,2
11,SELECT,11,"भ्राता" (bhrātā) is?,Mother,Father,Brother,3
11,ASSIST,12,the mother,भ्राता (bhrātā),माता (mātā),पिता (pitā),2
11,SELECT,13,Which word means "I"?,त्वम् (tvam),अहं (ahaṃ),अस्ति (asti),2
11,SELECT,14,"विद्यार्थी" (vidyārthī) means?,Knowledge,Student,Teacher,2
11,ASSIST,15,Welcome,स्वागतम् (svāgatam),नमः (namaḥ),धन्यवादः (dhanyavādaḥ),1
11,SELECT,16,What is "you" (singular)?,अहं (ahaṃ),त्वम् (tvam),नमः (namaḥ),2
11,SELECT,17,"अस्ति" (asti) translates to?,Is,Am,Are,1
11,ASSIST,18,Thank you,धन्यवादः (dhanyavādaḥ),स्वागतम् (svāgatam),गुरुः (guruḥ),1
11,SELECT,19,Which is "brother"?,माता (mātā),पिता (pitā),भ्राता (bhrātā),3
11,SELECT,20,the knowledge,विद्यार्थी (vidyārthī),गुरुः (guruḥ),विद्या (vidyā),3
