lessonid,type,order,question,option1,option2,option3,correctoption
13,SELECT,1,"According to Sushrut, How many types of Loota Visha are Sadhya and Asadhya?","10 Sadhya, 6 Asadhya","8 Sadhya, 8 Asadhya","12 Sadhya, 4 Asadhya",1
13,SELECT,2,Usually juice of ------ is applied on abortion stick,Ekshu,Ulmus fulva,Snuhi,3
13,SELECT,3,"According to Charak, visha visarpan takes place in the body in .........",Sharad,Vasant,Varsha,3
13,SELECT,4,"According to Sushrut, How many types of Mashak are there?",3,7,10,2
13,SELECT,5,"According to Yogratnakar, ... . . visha dravya are shuddha themselves.",Arka and Snuhi ksheer,Dhatura and Gunja seeds,Bhanga and Ahifen,1
13,SELECT,6,"According to Gangadhar Teeka, the sthavar visha gati is ....",Sarvag,tiryak,Adho,3
13,SELECT,7,"According to Sushrut, types of Loota are-",10,12,16,3
13,SELECT,8,Which of the following visha dravya are the ingredients of Sanjeevani Vati ?,Bhallatak and Dhatura,Dhatura and Vatsanabh,Bhallatak and Vatsanabh,3
13,SELECT,9,Meghanad agada is indicated in ......... sarpa dansha.,Darvikar,Rajiman,Vaikaranj,1
13,SELECT,10,Visha Adhisthan of Mooshak is-,Shukra,Lala,Nakha,2
13,SELECT,11,Sarvakarmika agada is indicated in .... visha.,Loota,Sarpa,Vruschika,1
13,SELECT,12,"According to Charak, visha vega in human are ... in number.",7,4,8,3
13,SELECT,13,How many types of Dushivisha Mooshak are there according to Charak?,14,10,20,3
13,SELECT,14,Which of the following is the best choice of chelation therapy in acute lead poisoning?,BAL,EDTA,BAL+EDTA,3
13,SELECT,15,Usually ------ stick is used as an abortion stick in India.,Chitrak,Mango,Bamboo,3
13,SELECT,16,"According to Anupan Manjiri, ....... is stated to be used in Dhatura vishajanit vikara.",Vruntak-Phalabeej ras,Patwan vriksha ras,Bruhatkshudra ras with godugdha,3
13,SELECT,17,Anirdeshya ras is mentioned as one of the guna of visha by .......,Charak,Sushruta,Vagbhata,1
13,SELECT,18,Syp. Ipecac is orally given in the treatment of poisoning for .................................................................................................,purgation,dilution of poison,forced emesis,3
13,SELECT,19,Which of the following is the example of chemical antidote?,Inj. BAL in mercury poisoning,CuSO4in phosphorus poisoning,Inj. Physostigmine in Dhatura Poisoning,2
13,SELECT,20,Dais use ...... upavisha for the preparation of abortion stick.,Kaner,Kuchala,Eranda,3
13,SELECT,21,..... this upvisha is used as a reflex uterine stimulant for criminal abortion,oil of Eranda,oil of tansy,oil of turpentine,2
13,SELECT,22,..... this upvisha is used for criminal abortion.,Aconite,Abrus precatorius,Nerium odorum,2
13,SELECT,23,Activated charcoal is ............... type of physical antidote.,bulky food,Adsorbent,demulcent,2
13,SELECT,24,"According to Anupan Manjiri, lepa of ........... is indicated in bhallatakjanit Shotha.",Punarnava ras with madhu,Meghnad ras with navneet,Triphala with madhu,1
13,SELECT,25,Which of the following is the first principle of treatment of poisoning?,Removal of unabsorbed poison from the body,Stabilization of vital functions,Administration of antidote,1
13,SELECT,26,"According to Sushrut, which poison if left untreated becomes similar to Dushivisha ?",Matsya,Keeta,Mooshak,3
13,SELECT,27,"According to Charak, lepa of Shirish flowers and Snuhi ksheer is used on-",Vrushchika Visha,Alarka Visha,Dardur Visha,1
13,SELECT,28,#NAME?,Dhatura,Jaypal,Kuchala,3
13,SELECT,29,Which of the following is not the method of hastening the removal of absorbed poison from the body?,Peritoneal dialysis,Haemodialysis,Irrigation of bowel,3
13,SELECT,30,...... is upavisha used for criminal abortion through reflex uterine stimulant.,Strychnine,Dhatura metel,croton tiglium,3
13,SELECT,31,"According to Sushruta, which of the following is one of the upadrava of Dooshivisha?",Jwar,Pandu,Kotha,1
13,SELECT,32,Which Makshika dansha is regarded as Pranahar according to Charak?,Kantarika,Sthagika,Pingala,1
13,SELECT,33,How many types of Manduka are considered by Acharya Sushrut?,2,4,8,3
13,SELECT,34,"While biting, Formic acid is secreted by-",Rats,Fish,Ants,3
13,SELECT,35,Which of the following bhavana dravya is used for shodhan of Afu?,Godugdha,Gomutra,Aardrak Swaras,3
13,SELECT,36,...... is one of the ingredients of dooshivishari Agad.,Mamsi,Amruta,Shunthi,1
