lessonid,type,order,question,option1,option2,option3,correctoption
16,SELECT,1,"भोः शिष्य उत्तिष्ठ प्रातः कालो जातः।","हे शिष्य ! उठ सवेरा हुआ।","हे शिष्य ! पढ़ाई करो।","हे बालक ! जल पी लो।",1
17,SELECT,1,"हे शिष्य ! उठ सवेरा हुआ।","भोः शिष्य पठ।","भोः शिष्य उत्तिष्ठ प्रातः कालो जातः।","भोः शिष्य गच्छ विद्यालयम्।",2
19,SELECT,1,"Student! Get up. It is morning.","उत्तिष्ठामि।","भोः शिष्य उत्तिष्ठ प्रातः कालो जातः।","सर्व उत्थापिताः।",2
20,SELECT,1,"भोः शिष्य उत्तिष्ठ प्रातः कालो जातः।","Wake up, disciple!","Student! Get up. It is morning.","Learn well today!",2
16,SELECT,2,"उत्तिष्ठामि।","मैं बैठता हूँ।","उठता हूँ।","मैं चलता हूँ।",2
17,SELECT,2,"उठता हूँ।","उत्तिष्ठामि।","गच्छामि।","पठामि।",1
19,SELECT,2,"I am getting up.","सर्व उत्थिताः।","उत्तिष्ठामि।","अधुना पठामि।",2
20,SELECT,2,"उत्तिष्ठामि।","I am walking.","I am getting up.","We are awake now.",2
16,SELECT,3,"अन्ये सर्वे विद्यार्थिन उत्थिता न वा?","और सब विद्यार्थी उठे या नहीं?","सब विद्यार्थी पढ़ रहे हैं।","और सब अभी सो रहे हैं।",1
17,SELECT,3,"और सब विद्यार्थी उठे या नहीं?","अन्ये सर्वे विद्यार्थिन उत्थिता न वा?","किं पठन्ति?","तानपि गच्छन्ति।",2
19,SELECT,3,"Have all other students got up or not?","अधुना तु नोत्थिताः खलु।","तानपि सर्वानुत्थापय।","अन्ये सर्वे विद्यार्थिन उत्थिता न वा?",3
20,SELECT,3,"अन्ये सर्वे विद्यार्थिन उत्थिता न वा?","Are all awake?","Have all other students got up?","Do all pray now?",2
16,SELECT,4,"अधुना तु नोत्थिताः खलु।","अभी तो नहीं उठे हैं।","अब सब उठ चुके हैं।","वे जल पी रहे हैं।",1
17,SELECT,4,"अभी तो नहीं उठे हैं।","तानपि पठन्ति।","अधुना तु नोत्थिताः खलु।","अन्ये उत्थिता वा?",3
19,SELECT,4,"So far, they haven't got up.","तानपि सर्वानुत्थापय।","अधुना तु नोत्थिताः खलु।","सर्व उत्थापिताः।",2
20,SELECT,4,"अधुना तु नोत्थिताः खलु।","So far, they haven't got up.","They are done bathing.","They just arrived.",1
16,SELECT,5,"तानपि सर्वानुत्थापय।","सभी को उठा दो।","उन्हें बैठा दो।","सबको पढ़ा दो।",1
17,SELECT,5,"सभी को उठा दो।","तानपि पठ।","तानपि सर्वानुत्थापय।","तानपि गच्छ।",3
19,SELECT,5,"Get all of them up also.","तानपि सर्वानुत्थापय।","अधुना तु नोत्थिताः खलु।","सर्व उत्थिताः।",2
20,SELECT,5,"तानपि सर्वानुत्थापय।","Wake up!","Let us eat.","Get all of them up also.",3
16,SELECT,6,"सर्व उत्थापिताः।","सब उठा दिये।","सब सो गये।","सब पढ़ रहे हैं।",1
17,SELECT,6,"सब उठा दिये।","सर्व उत्थिताः।","सर्व उत्थापिताः।","विद्यार्थिन पठन्ति।",3
19,SELECT,6,"All have been awakened.","अधुना तु नोत्थिताः।","सर्व उत्थापिताः।","तानपि सर्वानुत्थापय।",2
20,SELECT,6,"सर्व उत्थापिताः।","All have been awakened.","All just slept.","All are studying now.",1
16,SELECT,7,"सम्प्रत्यस्माभिः किं कर्तव्यम् ?","इस समय हमको क्या करना चाहिये?","अभी क्या सोना चाहिए?","अभी क्या खाना चाहिए?",1
17,SELECT,7,"इस समय हमको क्या करना चाहिये?","किं पठनीयम् ?","किं कर्तव्यम् ?","सम्प्रत्यस्माभिः किं कर्तव्यम् ?",3
19,SELECT,7,"What shall we do now?","अग्निहोत्रं विधाय पठत।","सम्प्रत्यस्माभिः किं कर्तव्यम् ?","पूर्वं किं पठनीयम् ?",2
20,SELECT,7,"सम्प्रत्यस्माभिः किं कर्तव्यम् ?","What shall we do now?","When shall we wake up?","Where should we go?",1
16,SELECT,8,"आवश्यकं शौचादिकं कृत्वा सन्ध्यावन्दनम्।","आवश्यक शरीरशुद्धि करके सन्ध्योपासना।","पहले पूजा करो फिर उठो।","अब जल पीओ।",1
17,SELECT,8,"आवश्यक शरीरशुद्धि करके सन्ध्योपासना।","संध्या के बाद भोजन।","आवश्यकं शौचादिकं कृत्वा सन्ध्यावन्दनम्।","अग्निहोत्रं विधाय पठत।",3
19,SELECT,8,"Offer benedictory prayers after cleanliness.","आवश्यकं शौचादिकं कृत्वा सन्ध्यावन्दनम्।","सर्व उत्थिताः।","किचिरंस्कृतोक्तिबोधः क्रियताम्।",2
20,SELECT,8,"आवश्यकं शौचादिकं कृत्वा सन्ध्यावन्दनम्।","Study after washing.","Offer benedictory prayers after cleanliness.","Go for prayer next.",2
