lesson_id,question,order,correct_answers,case_sensitive
21,"Kriyashilta of ____ organ is considered for the word koshtha.",1,"Amashaya",false
21,"Dhatugat ushama is known as ____.",2,"dhatwagni",false
21,"After breakdown and partial digestion by jatharagni, food is exposed to ____.",3,"all of the above",false
21,"Location of pachakagni is ____.",4,"pakwamashayamadhya",false
21,"Digestion of ____ and ____ mahabhuta occurs in madhura avasthapaka.",5,"Prithyi & aap",false
21,"In Madhura Awasthapak, udiran of ____ takes place.",6,"Kapha Dosha",false
21,"Bala parikshana is done by ____.",7,"Jaran shakti",false
21,"The hormone that stimulates the stomach to secrete gastric juice is ____.",8,"Gastrin",false
21,"Sushruta advises to prescribe mrudvisam matra in case of ____ koshtha for virechana.",9,"mrudukoshatha",false
21,"As per Ashtanga Sangrahakara, time required for samyak pachana is ____.",10,"3-6 yaam",false
21,"According to Acharya Charaka, types of agni are ____.",11,"13",false
21,"As per balabheda, agni is divided into ____ types.",12,"13",false
21,"Ultimate rasa formed after the digestion of food is called ____.",13,"vipak",false
